degree,formation,speciality,segmentation,
Licence Professionnelle,Métiers du BTP,Bâtiment et construction,,Licence Professionnelle Métiers du BTP  Bâtiment et construction
Licence Professionnelle,Métiers du BTP,génie civil et construction,,Licence Professionnelle Métiers du BTP  génie civil et construction
Licence Professionnelle,Métiers du BTP,performance énergétique et environnementale des bâtiments,,Licence Professionnelle Métiers du BTP performance énergétique et environnementale des bâtiments
Licence Professionnelle,Métiers du BTP,travaux publics,,Licence Professionnelle Métiers du BTP  travaux publics
Licence Professionnelle,Métiers du commerce international,,,Licence Professionnelle Métiers du commerce international
Licence Professionnelle,Métiers du design,,,Licence Professionnelle Métiers du design
Licence Professionnelle,Métiers du livre,documentation et bibliothèques,,Licence Professionnelle Métiers du livre  documentation et bibliothèques
Licence Professionnelle,Métiers du livre,édition et commerce du livre,,Licence Professionnelle Métiers du livre  édition et commerce du livre
Licence Professionnelle,Métiers du marketing opérationnel,,,Licence Professionnelle Métiers du marketing opérationnel
Licence Professionnelle,Métiers du notariat,,,Licence Professionnelle Métiers du notariat
Licence Professionnelle,Nautisme et métiers de la plaisance,,,Licence Professionnelle Nautisme et métiers de la plaisance
Licence Professionnelle,Optique professionnelle,,,Licence Professionnelle Optique professionnelle
Licence Professionnelle,"Organisation, management des services de l'automobile ",,,"Licence Professionnelle Organisation, management des services de l'automobile  "
Licence Professionnelle,Productions animales,,,Licence Professionnelle Productions animales
Licence Professionnelle,Productions végétales,,,Licence Professionnelle Productions végétales
Licence Professionnelle,Sécurité des biens et des personnes,,,Licence Professionnelle Sécurité des biens et des personnes
Licence Professionnelle,Technico-commercial,,,Licence Professionnelle Technico-commercial
Licence Professionnelle,Techniques du son et de l'image,,,Licence Professionnelle Techniques du son et de l'image
Licence Professionnelle,"Assurance, banque, finance ",chargé de clientèle,,"Licence Professionnelle Assurance, banque, finance  chargé de clientèle"
Licence Professionnelle,Activités juridiques,marchés publics – métiers de l’achat public,,Licence Professionnelle Activités juridiques  marchés publics – métiers de l’achat public
Licence Professionnelle,Métiers de l'industrie :,logistique industrielle,,Licence Professionnelle Métiers de l'industrie : logistique industrielle
Licence Professionnelle,Valorisation des agro-ressources,,,Licence Professionnelle Valorisation des agro-ressources
Licence Professionnelle,Energie et propulsion,,,Licence Professionnelle Energie et propulsion
Licence Professionnelle,"Assurance, banque, finance",supports opérationnels,,"Licence Professionnelle Assurance, banque, finance supports opérationnels"
Licence Professionnelle,Métiers de la communication,publicité,,Licence Professionnelle Métiers de la communication  publicité
Licence Professionnelle,Métiers Juridiques,métiers du droit des sociétés,,Licence Professionnelle Métiers Juridiques  métiers du droit des sociétés
Licence Professionnelle,Métiers du conseil et de la formation des adultes,,,Licence Professionnelle Métiers du conseil et de la formation des adultes
Licence Professionnelle,"Santé, vieillissement et activités physiques adaptées ",,,"Licence Professionnelle Santé, vieillissement et activités physiques adaptées  "
Licence Professionnelle,Tourisme et loisirs sportifs,,,Licence Professionnelle Tourisme et loisirs sportifs
Licence Professionnelle,"Animation, gestion et organisation des activités physiques et sportives ",,,"Licence Professionnelle Animation, gestion et organisation des activités physiques et sportives  "
Licence Professionnelle,"Gestion et développement des organisations, des services sportifs et de loisirs ",,,"Licence Professionnelle Gestion et développement des organisations, des services sportifs et de loisirs  "
Licence Professionnelle,Métiers de la forme,,,Licence Professionnelle Métiers de la forme
Licence Professionnelle,Intervention sociale : développement social et médiation par le sport,,,Licence Professionnelle Intervention sociale : développement social et médiation par le sport
Licence,Diplôme de comptabilité et de gestion (DCG),,,Licence Diplôme de comptabilité et de gestion (DCG)
Licence,Diplôme de premier cycle de l'Ecole nationale supérieure des arts décoratifs,,,Licence Diplôme de premier cycle de l'Ecole nationale supérieure des arts décoratifs
Licence,Sciences et ingénierie,Intelligence Artificielle,,Licence Sciences et ingénierie Intelligence Artificielle
Licence,Sciences et ingénierie,Maquette numérique pour le BTP,,Licence Sciences et ingénierie  Maquette numérique pour le BTP
Licence,Sciences et ingénierie,Maintenance,,Licence Sciences et ingénierie  Maintenance
Licence,Sciences et ingénierie,Filières agricole et agroalimentaire durables,,Licence Sciences et ingénierie  Filières agricole et agroalimentaire durables
Licence,Sciences et ingénierie,Chimie et sciences industrielles,,Licence Sciences et ingénierie  Chimie et sciences industrielles
Licence,Sciences et ingénierie,Digital et Stratégies d’Entreprise,,Licence Sciences et ingénierie  Digital et Stratégies d’Entreprise
Master,Diplôme supérieur de comptabilité et de gestion (DSCG),,,Master Diplôme supérieur de comptabilité et de gestion (DSCG)
Master,"Domaine Droit, Economie, Gestion, Mention Qualité, Hygiène, Sécurité",,,"Master Domaine Droit, Economie, Gestion, Mention Qualité, Hygiène, Sécurité "
Master,Acoustique,,,Master Acoustique
Master,Actuariat,,,Master Actuariat
Master,Administration de la santé,,,Master Administration de la santé
Master,Administration économique et sociale,,,Master Administration économique et sociale
Master,Administration et échanges internationaux,,,Master Administration et échanges internationaux
Master,Administration publique,,,Master Administration publique
Master,Aéronautique et espace,,,Master Aéronautique et espace
Master,"Agrosciences, environnement, territoires, paysage, forêt ",,,"Master Agrosciences, environnement, territoires, paysage, forêt  "
Master,Analyse et politique économique,,,Master Analyse et politique économique
Master,Anthropologie (,,,Master Anthropologie (
Master,Approches Interdisciplinaires de la Recherche et de l'Enseignement (AIRE),,,Master Approches Interdisciplinaires de la Recherche et de l'Enseignement (AIRE)
Master,"Archéologie, sciences pour l'archéologie ",,,"Master Archéologie, sciences pour l'archéologie  "
Master,Archives,,,Master Archives
Master,Arts,,,Master Arts
Master,Arts de la scène et du spectacle vivant,,,Master Arts de la scène et du spectacle vivant
Master,Arts plastiques,,,Master Arts plastiques
Master,"Arts, lettres et civilisations ",,,"Master Arts, lettres et civilisations  "
Master,"Arts, lettres, langues ", Humanités et industries créatives,,"Master Arts, lettres, langues   Humanités et industries créatives"
Master,"Audiovisuel, médias interactifs numériques, jeux ",,,"Master Audiovisuel, médias interactifs numériques, jeux  "
Master,Automatique et systèmes électriques,,,Master Automatique et systèmes électriques
Master,"Automatique, robotique ",,,"Master Automatique, robotique  "
Master,Bio-informatique,,,Master Bio-informatique
Master,"Biochimie, biologie moléculaire ",,,"Master Biochimie, biologie moléculaire  "
Master,"Biodiversité, écologie et évolution ",,,"Master Biodiversité, écologie et évolution  "
Master,Biologie,,,Master Biologie
Master,Biologie intégrative et physiologie,,,Master Biologie intégrative et physiologie
Master,Biologie moléculaire et cellulaire,,,Master Biologie moléculaire et cellulaire
Master,Biologie végétale,,,Master Biologie végétale
Master,Biologie-santé,,,Master Biologie-santé
Master,Biotechnologies,,,Master Biotechnologies
Master,"Calcul haute performance, simulation ",,,"Master Calcul haute performance, simulation  "
Master,Cancer,,,Master Cancer
Master,Chimie,,,Master Chimie
Master,Chimie et sciences des matériaux,,,Master Chimie et sciences des matériaux
Master,Chimie et sciences du vivant,,,Master Chimie et sciences du vivant
Master,Chimie Moléculaire,,,Master Chimie Moléculaire
Master,Chimie physique et analytique,,,Master Chimie physique et analytique
Master,Cinéma et audiovisuel,,,Master Cinéma et audiovisuel
Master,"Civilisations, cultures et sociétés ",,,"Master Civilisations, cultures et sociétés  "
Master,Commerce et distribution,,,Master Commerce et distribution
